封切ろ,778,778,7150,動詞,自立,*,*,五段・ラ行,未然ウ接続,封切る,フウギロ,フーギロ
封切り,788,788,7150,動詞,自立,*,*,五段・ラ行,連用形,封切る,フウギリ,フーギリ
封切っ,786,786,7150,動詞,自立,*,*,五段・ラ行,連用タ接続,封切る,フウギッ,フーギッ
封切れ,768,768,7150,動詞,自立,*,*,五段・ラ行,仮定形,封切る,フウギレ,フーギレ
封切れ,784,784,7150,動詞,自立,*,*,五段・ラ行,命令ｅ,封切る,フウギレ,フーギレ
封切りゃ,770,770,7150,動詞,自立,*,*,五段・ラ行,仮定縮約１,封切る,フウギリャ,フーギリャ
封切ん,774,774,7150,動詞,自立,*,*,五段・ラ行,体言接続特殊,封切る,フウギン,フーギン
封切,776,776,7150,動詞,自立,*,*,五段・ラ行,体言接続特殊２,封切る,フウギ,フーギ
封切る,772,772,7150,動詞,自立,*,*,五段・ラ行,基本形,封切る,フウキル,フーキル
封切ら,780,780,7551,動詞,自立,*,*,五段・ラ行,未然形,封切る,フウキラ,フーキラ
封切ん,782,782,7150,動詞,自立,*,*,五段・ラ行,未然特殊,封切る,フウキン,フーキン
封切ろ,778,778,7150,動詞,自立,*,*,五段・ラ行,未然ウ接続,封切る,フウキロ,フーキロ
封切り,788,788,7150,動詞,自立,*,*,五段・ラ行,連用形,封切る,フウキリ,フーキリ
封切っ,786,786,7150,動詞,自立,*,*,五段・ラ行,連用タ接続,封切る,フウキッ,フーキッ
封切れ,768,768,7150,動詞,自立,*,*,五段・ラ行,仮定形,封切る,フウキレ,フーキレ
封切れ,784,784,7150,動詞,自立,*,*,五段・ラ行,命令ｅ,封切る,フウキレ,フーキレ
封切りゃ,770,770,7150,動詞,自立,*,*,五段・ラ行,仮定縮約１,封切る,フウキリャ,フーキリャ
封切ん,774,774,7150,動詞,自立,*,*,五段・ラ行,体言接続特殊,封切る,フウキン,フーキン
封切,776,776,7156,動詞,自立,*,*,五段・ラ行,体言接続特殊２,封切る,フウキ,フーキ
逃げまどう,817,817,7150,動詞,自立,*,*,五段・ワ行促音便,基本形,逃げまどう,ニゲマドウ,ニゲマドウ
逃げまどわ,823,823,7150,動詞,自立,*,*,五段・ワ行促音便,未然形,逃げまどう,ニゲマドワ,ニゲマドワ
逃げまどお,820,820,7150,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,逃げまどう,ニゲマドオ,ニゲマドオ
逃げまどい,832,832,7150,動詞,自立,*,*,五段・ワ行促音便,連用形,逃げまどう,ニゲマドイ,ニゲマドイ
逃げまどっ,829,829,7150,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,逃げまどう,ニゲマドッ,ニゲマドッ
逃げまどえ,814,814,7150,動詞,自立,*,*,五段・ワ行促音便,仮定形,逃げまどう,ニゲマドエ,ニゲマドエ
逃げまどえ,826,826,7150,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,逃げまどう,ニゲマドエ,ニゲマドエ
